slot,action,sample_ready,channel_success,weighted_aoi,aoi_0,aoi_1,aoi_2
733,1,1,1,27.0,4,1,7
734,1,0,0,33.0,5,2,8
735,0,1,1,34.0,1,3,9
736,2,1,0,40.0,2,4,10
737,0,1,1,44.0,1,5,11
738,2,1,1,17.0,2,6,1
739,1,1,1,11.0,3,1,2
740,1,1,1,15.0,4,1,3
741,1,1,1,19.0,5,1,4
742,0,1,1,20.0,1,2,5
743,0,1,1,25.0,1,3,6
744,1,1,0,31.0,2,4,7
745,1,1,0,37.0,3,5,8
746,2,1,0,43.0,4,6,9
747,0,1,0,49.0,5,7,10
748,2,1,1,25.0,6,8,1
749,2,1,0,31.0,7,9,2
750,2,1,1,31.0,8,10,1
751,2,1,1,34.0,9,11,1
